name,path,root_key,model_type,arch_family,has_attention,dataset_mode,training_mode,darcy_weight,epochs,best_train_loss_used,final_train_loss_used,best_epoch_train_loss_used,best_train_total_mse,final_train_total_mse,best_epoch_train_total_mse,best_train_supervised_mse,final_train_supervised_mse,best_epoch_train_supervised_mse,best_train_mask_mse,final_train_mask_mse,best_epoch_train_mask_mse,best_train_nonmask_mse,final_train_nonmask_mse,best_epoch_train_nonmask_mse,best_train_darcy,final_train_darcy,best_epoch_train_darcy,best_val_total_mse,final_val_total_mse,best_epoch_val_total_mse,best_val_supervised_mse,final_val_supervised_mse,best_epoch_val_supervised_mse,best_val_mask_mse,final_val_mask_mse,best_epoch_val_mask_mse,best_val_nonmask_mse,final_val_nonmask_mse,best_epoch_val_nonmask_mse,best_val_darcy,final_val_darcy,best_epoch_val_darcy
fixed_physics_limited_prof_unet_darcy_0p001,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_0p001_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,0.001,75,0.0007183461073929,0.0007392728689293,16,0.0254040120694881,0.1774626809817094,21,0.0007015561314825,0.0007198794538943,72,0.0692894961207341,0.0710992072828305,72,0.0228888428268524,0.1785506300437144,21,3.93162987568128e-07,0.0011948052113159,17,0.0251030104234814,0.1779760852456093,21,0.0006320481828879,0.0006730920285917,4,0.0624245129525661,0.0664782248437404,4,0.0227452807128429,0.1791165485978126,21,3.931655925271116e-07,0.0012027341406792,17
fixed_physics_limited_prof_unet_darcy_0p01,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_0p01_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,0.01,75,0.0006931043007614,0.0007499995998118,46,0.1403301713558343,0.2742719184129666,1,0.0007016148607736,0.0007617815288727,50,0.0692952968753301,0.0752376840473749,50,0.1408022707089399,0.2763077502067272,1,2.121970312192645e-06,4.152997987078449e-06,3,0.1403250619769096,0.2743006825447082,1,0.0006367244088323,0.0007899281627032,19,0.0628863625228405,0.0780175987631082,19,0.1407998532056808,0.2763083755970001,1,2.1212905494394363e-06,4.153005147600197e-06,3
fixed_physics_limited_prof_unet_darcy_0p1,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_0p1_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,0.1,75,0.0006727015977211,0.0007368357805833,63,0.1875373044839272,0.2614174148975274,14,0.0006728622807154,0.0007237489641202,17,0.0664555345399257,0.0714813811847796,17,0.1886378538150053,0.2633602000199831,14,2.189720076692025e-06,2.8631859783136183e-06,14,0.1875715300440788,0.2615164220333099,14,0.0006147611129563,0.0008229255618061,32,0.0607171488925814,0.081276598572731,32,0.1886374831199646,0.2633600205183029,14,2.189915699091216e-06,2.863178588086157e-06,14
fixed_physics_limited_prof_unet_darcy_1p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_1p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,1.0,75,0.0006924116639241,0.0007553542717897,74,0.1964049576184688,0.2841228361313159,8,0.0006985198236249,0.0007669852497294,29,0.0689896139769982,0.0757516311147274,29,0.1975580648734019,0.2862541813116807,8,2.5618881420833088e-08,1.589846575073422e-07,71,0.1963319316506385,0.2840494334697723,8,0.0006472047709394,0.0006936929974472,45,0.0639214593917131,0.0685128904879093,45,0.1975574225187301,0.2862540692090988,8,2.5618281362937983e-08,1.5901073595614438e-07,71
fixed_physics_limited_prof_unet_darcy_10p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_10p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,10.0,75,0.0006886875142719,0.0007059628133459,45,0.1896741592731231,0.3095706059382512,12,0.0006911189269978,0.0007743591648669,41,0.0682586609170987,0.076479918968219,41,0.1908154350060683,0.311954793257591,12,5.009348434634685e-10,2.456765133210034e-09,74,0.1897383004426956,0.3096462547779083,12,0.0006183005549246,0.0008500135852955,40,0.0610667243599891,0.0839519619941711,40,0.1908157259225845,0.3119547963142395,12,5.002783853846891e-10,2.457084757878647e-09,74
fixed_physics_limited_prof_unet_darcy_100p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_100p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,100.0,75,0.0006895932586839,0.0007583014562558,32,0.1868943090622241,0.2706433144899515,5,0.0007059090570785,0.0007605272470615,71,0.0697194143938712,0.0751138046765938,71,0.1879355983856396,0.2726433078447978,5,3.00967893057811e-10,1.5735117596358204e-09,70,0.1868472963571548,0.2706458240747452,5,0.0006707046297378,0.0007630646985489,35,0.0662424337118864,0.0753644153475761,35,0.187935771048069,0.2726432830095291,5,3.010528104585574e-10,1.573528907172772e-09,70
fixed_physics_limited_prof_unet_darcy_1000p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_1000p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,1000.0,75,0.0002333391842115,0.0002473902366965,74,0.0535470745884455,0.2513156441541818,2,0.0002195127972533,0.0002385527718265,73,0.0216802769722655,0.0235607683037718,73,0.0525545217096805,0.2536452569258519,2,2.8124250336010923e-09,4.851696190099321e-09,73,0.0535687383264303,0.2518150746822357,2,0.000228055100888,0.0002750523213762,73,0.0225239610299468,0.0271656620316207,73,0.052553703635931,0.254112921655178,2,2.885137417862893e-09,4.701654598981974e-09,61
fixed_physics_limited_prof_unet_darcy_10000p0,recent_analysis_prof_unet\physics_tests\fixed\fixed_physics_limited_prof_unet_darcy_10000p0_history.csv,prof_unet,prof_unet,prof_unet,False,fixed,physics_limited,10000.0,75,0.0004054142135338,0.0004391149417736,74,0.0088031587358086,0.2089658429225286,12,0.0003682628038148,0.0003959179597679,67,0.0363716354163793,0.0391030091887865,67,0.0061164827396472,0.2107033041807321,12,1.3687552174300703e-09,3.130107369878706e-09,2,0.0087047185748815,0.2079695910215377,12,0.0003564143378753,0.0003636712383013,65,0.0352014165371656,0.0359181478619575,65,0.0061169053893536,0.2097294241189956,12,1.3681787924824107e-09,3.2443863928754982e-09,2
fixed_physics_limited_splitnet_darcy_0p0,recent_analysis_split_na\physics_tests\fixed\fixed_physics_limited_splitnet_darcy_0p0_history.csv,splitnet,splitnet,splitnet,False,fixed,physics_limited,0.0,75,0.0003209440283871,0.0003232642077655,62,0.0466241459242808,0.267073732920182,1,0.0003316840242731,0.0004489678704442,58,0.0327589164655178,0.0443425071545136,58,0.0454156590768924,0.2693519592285156,1,3.6194909999045565e-05,0.0007925180685467,1,0.0464509941637516,0.2695092141628265,1,0.0003178583225235,0.0005847542284755,45,0.0313934156671166,0.0577535040676593,45,0.0453421134501695,0.2716751724481582,1,3.377073235242278e-05,0.0008219159615691,1
fixed_physics_limited_splitnet_darcy_0p001,recent_analysis_split_na\physics_tests\fixed\fixed_physics_limited_splitnet_darcy_0p001_history.csv,splitnet,splitnet,splitnet,False,fixed,physics_limited,0.001,75,0.0001624089856751,0.0001830155635429,70,0.0339358349641164,0.1540437218470451,1,0.0001685107160413,0.0002039280613341,69,0.016643034079327,0.0201410436047575,69,0.0326367853543697,0.1554133571111239,1,2.76120843829211e-05,3.0112864596258776e-05,68,0.0337601989507675,0.1536465853452682,1,0.0001535327697638,0.0001760808961989,57,0.0151637306436896,0.0173907062970101,57,0.0325272634625434,0.1550402909517288,1,2.6569746478344317e-05,3.1183698047243526e-05,68
